S.No.,Product Name,MRP (Rs.),Pack Size,File Name
123,Naclofen-Cold Tablets,74.25,20x10,Innoventis\Naclofen-Cold 20x10 Tablets.webp
124,Naclofen-MP Suspenction,59.88,60ml,Innoventis\Naclofen-MP 60ml Suspenction.webp
125,Naclofen-MP DS Suspenction,106,60ml,Innoventis\Naclofen-MP DS 60ml.webp
126,Naclofen-MR Tablets,101.05,30x10,Innoventis\Naclofen-MR 30x10 Tablets.webp
127,Naclofen-P Tablets,63.9,10x2x10,Innoventis\Naclofen-P 10x2x10 Tablets.webp
128,Naclofen-SP Tablets,124.7,30x10,Innoventis\Naclofen-SP 30x10 Tablets.webp
129,Naclofen-TH4 Tablets,0,10x1x10,Innoventis\Naclofen-TH4 10x1x10 Tablets.webp
130,Nimubenz-P Tablets,59.8,10x2x10,Innoventis\Nimubenz-P Tablets 10x2x10.jpg
131,NS Infusion,61.87,100ml,Innoventis\NS 0.9%wv Infusion 100ml.webp
132,Nurovent NT Tablets,205.88,10x10,Innoventis\Nurovent NT 10x10 Tablets.webp
133,Nurovent NTM Tablets,224.6,10x10,Innoventis\Nurovent NTM 10x10 Tablets.webp
134,Nurovent- Plus Capsules,198,10x1x10,Innoventis\Nurovent- PLUS 10x1x10 Capsules.webp
135,Nurovent-500 Tablets,67.5,20x10,Innoventis\Nurovent-500 20x10 Tablets.webp
136,Nurovent-D3 Tablets,206.25,10x10,Innoventis\NUROVENT-D3 Tablets.webp
137,Nurovent-Forte 2500 Injection,111.37,2ml,Innoventis\Nurovent-Forte 2500mcg Injection.jpg
138,Nurovent-OD Tablets,67.5,20x10,Innoventis\NUROVENT-OD Tablets.webp
139,Nurovent-PG Capsules,198,20x10,Innoventis\Nurovent-PG 20x10 Capsules.webp
140,Nurovent-Plus Injection,158.8,10x2ml,Innoventis\Nurovent-PLUS Injection.webp
141,Nutori-90 Tablets,192.8,5x3x15,Innoventis\Nutori-90mg 5x3x15 Tablets.webp
142,Nutori-MR Tablets,285.6,10x1x10,Innoventis\Nutori-MR 10x1x10 Tablets.webp
143,Nutori-Plus Tablets,149.73,5x3x15,Innoventis\Nutori-PLUS 5x3x15 Tablets.webp
144,Omilan Capsules,61.74,20x20,Innoventis\Omilan Capsules 20x20.webp
145,Omilan-D Capsules,61.74,20x20,Innoventis\Omilan-D 20x20 Capsules.webp
146,Omilan-MPS Suspension,113.43,170ml,Innoventis\Omilan-MPS.webp
147,Omilan-MPS O Suspension,123.75,170ml,Innoventis\Omilan-MPS O Suspension 170ml.webp
148,Omilan-Raft Suspension,201,150ml,Innoventis\Omilan-RAFT 150ml Suspension.webp
149,Ondilan-MD Tablets,55.23,20x10,Innoventis\Ondilan-MD 20x10 Tablets.webp
150,Optisooth Eye Drops,115.12,10ml,Innoventis\OPTISOOTH EYE DROPS 10ml.webp
151,Ostolium Suspension,195.76,200ml,Innoventis\Ostolium Suspension 200ml.webp
